model,variable,coef,se,pvalue,ci_low,ci_high
Baseline FE,Temperature,-0.1101,0.0231,0.0,-0.15537600000000001,-0.064824
Baseline FE,SPI,0.0424,0.0273,0.1213,-0.011108,0.095908
Dynamic FE,Lagged log production,0.4276,0.0488,0.0,0.33195199999999997,0.5232479999999999
Dynamic FE,Temperature,-0.0976,0.0161,0.0,-0.129156,-0.066044
Dynamic FE,SPI,0.0586,0.0237,0.0137,0.012147999999999999,0.105052
Quadratic FE,Temperature,-0.0495,0.1182,0.6755,-0.281172,0.182172
Quadratic FE,SPI,0.0719,0.0295,0.015,0.01408000000000001,0.12972
Quadratic FE,SPI squared,-0.071,0.0216,0.0011,-0.11333599999999999,-0.028663999999999995
Quantile 0.25,SPI,0.0805,0.019,0.0,0.04326000000000001,0.11774
Quantile 0.50,SPI,0.0505,,,,
Quantile 0.75,SPI,0.05,,,,
