model,variable,coef,t_or_z,pvalue
dynamic_fe_spi,temp_grow_mean,-0.11011928416003852,-4.771907082434647,2.09399391892795e-06
dynamic_fe_spi,spi_grow_mean,0.04238261014833857,1.5506672118166178,0.12129503815037035
dynamic_fe_spi,temp_grow_lag1,0.012566473315543303,0.8582179644242501,0.39097593387646556
dynamic_fe_spi,spi_grow_mean_lag1,0.03141725827888382,1.3134305178971772,0.18933650293357895
dynamic_fe_spi_lagy,ln_production_lag1,0.4275930601409935,8.7637110345149,0.0
dynamic_fe_spi_lagy,temp_grow_mean,-0.09757527069754442,-6.059350435677276,1.928098791736943e-09
dynamic_fe_spi_lagy,spi_grow_mean,0.05857839772107798,2.468486362707874,0.01373359130803875
dynamic_fe_spi_lagy,temp_grow_lag1,0.04778448009819746,2.893037276674488,0.003897467894371287
dynamic_fe_spi_lagy,spi_grow_mean_lag1,-0.007834043584976623,-0.3528855491356807,0.7242480222933856
dynamic_fe_spi_quad,temp_grow_mean,-0.04948847577284631,-0.41873566104533866,0.6754986232991844
dynamic_fe_spi_quad,temp_grow_sq,-0.0021866010406010163,-0.5566889936496994,0.5778636289013575
dynamic_fe_spi_quad,spi_grow_mean,0.07185200044919048,2.43568276428057,0.015036307366087076
dynamic_fe_spi_quad,spi_grow_mean_sq,-0.07099101683865462,-3.281298322768101,0.0010687793861448025
dynamic_fe_spi_quad,temp_grow_lag1,0.005605068981140644,0.35871139633235327,0.7198861925515558
dynamic_fe_spi_quad,spi_grow_mean_lag1,0.01780793620666627,0.6726573422573148,0.501319630965734
quantile_spi_0.25,temp_grow_mean,-0.04566940755966243,-3.427758515222093,0.000631505911837922
quantile_spi_0.25,spi_grow_mean,0.08051184809430138,4.276134806176109,2.06973159171387e-05
quantile_spi_0.5,temp_grow_mean,-0.07724431961431023,-6.021354004873324,2.36694457181974e-09
quantile_spi_0.5,spi_grow_mean,0.05048928062284363,2.8423949615788433,0.004561814712155932
quantile_spi_0.75,temp_grow_mean,-0.07782047638589226,-6.1745799261760945,9.372684214009344e-10
quantile_spi_0.75,spi_grow_mean,0.04997408479754689,3.055171008181741,0.0023044496906809053
quantile_spi_quad_0.25,temp_grow_mean,0.12207388372915542,2.588519779997887,0.009768552201135634
quantile_spi_quad_0.25,temp_grow_sq,-0.007233056423827058,-4.375384977892513,1.3297328868203416e-05
quantile_spi_quad_0.25,spi_grow_mean,0.12012700710728559,5.76140888343115,1.0874001513653684e-08
quantile_spi_quad_0.25,spi_grow_mean_sq,-0.08225405436045445,-5.860793561685879,6.114552030179596e-09
quantile_spi_quad_0.5,temp_grow_mean,-0.00038995612985404245,-0.010236463643971195,0.9918345185987425
quantile_spi_quad_0.5,temp_grow_sq,-0.0027192729965066545,-1.9928305400971684,0.046531551687132244
quantile_spi_quad_0.5,spi_grow_mean,0.08486534824545526,4.4216724768973705,1.0784326368608153e-05
quantile_spi_quad_0.5,spi_grow_mean_sq,-0.05403373315099892,-4.059473666873151,5.273447741956174e-05
quantile_spi_quad_0.75,temp_grow_mean,-0.05914460600584504,-1.6559512378835248,0.09802245825020361
quantile_spi_quad_0.75,temp_grow_sq,-0.001138376391175963,-0.9128857741145513,0.3615065434589152
quantile_spi_quad_0.75,spi_grow_mean,0.08044966320378309,4.619842653676611,4.303164038652291e-06
quantile_spi_quad_0.75,spi_grow_mean_sq,-0.06024932528355832,-5.176472885063651,2.695653645206819e-07
