panel_region_original,region_match,match_method,match_score
Алтайский край,Altay,manual,1.0
Амурская область,Amur,manual,1.0
Архангельская область,Arkhangel'sk,manual,1.0
Астраханская область,Astrakhan',manual,1.0
Белгородская область,Belgorod,manual,1.0
Брянская область,Bryansk,manual,1.0
Владимирская область,Vladimir,manual,1.0
Волгоградская область,Volgograd,manual,1.0
Вологодская область,Vologda,manual,1.0
Воронежская область,Voronezh,manual,1.0
Забайкальский край,Zabaykal'ye,manual,1.0
Ивановская область,Ivanovo,manual,1.0
Иркутская область,Irkutsk,manual,1.0
Кабардино-Балкарская Республика,Kabardin-Balkar,manual,1.0
Калининградская область,Kaliningrad,manual,1.0
Калужская область,Kaluga,manual,1.0
Камчатский край,Kamchatka,manual,1.0
Карачаево-Черкесская Республика,Karachay-Cherkess,manual,1.0
Кировская область,Kirov,manual,1.0
Костромская область,Kostroma,manual,1.0
Краснодарский край,Krasnodar,manual,1.0
Красноярский край,Krasnoyarsk,manual,1.0
Курганская область,Kurgan,manual,1.0
Курская область,Kursk,manual,1.0
Ленинградская область,Leningrad,manual,1.0
Липецкая область,Lipetsk,manual,1.0
Московская область,Moskva,manual,1.0
Нижегородская область,Nizhny Novgorod,manual,1.0
Новгородская область,Novgorod,manual,1.0
Новосибирская область,Novosibirsk,manual,1.0
Омская область,Omsk,manual,1.0
Оренбургская область,Orenburg,manual,1.0
Орловская область,Orël,manual,1.0
Пензенская область,Penza,manual,1.0
Пермский край,Perm',manual,1.0
Приморский край,Primor'ye,manual,1.0
Псковская область,Pskov,manual,1.0
Республика Адыгея,Adygey,manual,1.0
Республика Алтай,Altay,manual,1.0
Республика Башкортостан,Bashkortostan,manual,1.0
Республика Бурятия,Buryat,manual,1.0
Республика Дагестан,Dagestan,manual,1.0
Республика Ингушетия,Ingush,manual,1.0
Республика Калмыкия,Kalmyk,manual,1.0
Республика Карелия,Karelia,manual,1.0
Республика Коми,Komi,manual,1.0
Республика Марий Эл,Mariy-El,manual,1.0
Республика Мордовия,Mordovia,manual,1.0
Республика Саха (Якутия),Sakha,manual,1.0
Республика Северная Осетия-Алания,North Ossetia,manual,1.0
Республика Татарстан,Tatarstan,manual,1.0
Республика Тыва,Tuva,manual,1.0
Республика Хакасия,Khakass,manual,1.0
Ростовская область,Rostov,manual,1.0
Рязанская область,Ryazan',manual,1.0
Самарская область,Samara,manual,1.0
Саратовская область,Saratov,manual,1.0
Свердловская область,Sverdlovsk,manual,1.0
Смоленская область,Smolensk,manual,1.0
Ставропольский край,Stavropol',manual,1.0
Тамбовская область,Tambov,manual,1.0
Тверская область,Tver',manual,1.0
Томская область,Tomsk,manual,1.0
Тульская область,Tula,manual,1.0
Тюменская область,Tyumen',manual,1.0
Удмуртская Республика,Udmurt,manual,1.0
Ульяновская область,Ul'yanovsk,manual,1.0
Хабаровский край,Khabarovsk,manual,1.0
Челябинская область,Chelyabinsk,manual,1.0
Чеченская Республика,Chechnya,manual,1.0
Ярославская область,Yaroslavl',manual,1.0
