feature,mean_abs_shap
num__temp_grow_mean,0.18250172411919066
num__ln_subsidy_main,0.06531920425589707
num__prec_grow_sum,0.06414746888822968
cat__agro_zone_black_soil,0.06350702964884375
num__spei_x_subsidy,0.0517872434187097
num__temp_grow_sq,0.04885739128538186
num__ln_area,0.04830724693652967
num__ln_subsidy_per_area,0.033998810370505006
num__spei_grow_mean,0.015062158202168245
num__temp_x_subsidy,0.012872666401835734
num__spi_x_subsidy,0.007904406180664675
num__spei_sq,0.006411889098453492
num__spi_sq,0.005553894236324424
cat__agro_zone_volga_dry,0.004222933735928702
num__spi_grow_mean,0.0023051518191215432
cat__agro_zone_risky_farming,0.0016356791574899607
cat__agro_zone_other,0.001297520213041485
