Variable,Coefficient,Std. error,P-value,Significance
Growing-season temperature,-0.31804781401800075,0.08009865356998778,7.677181191723115e-05,***
Growing-season precipitation,-1.5496138296197386e-05,7.483189934014353e-06,0.03863322974494032,**
SPI,0.34537811358014786,0.07281217382498302,2.4054787810534606e-06,***
SPEI,-0.16182645803841916,0.06027665130165719,0.007378461301701167,***
$\ln A$,-0.12045319819988869,0.09021160751713424,0.18210389960184803,
$\ln Y_{t-1}$,0.18605304218119653,0.043147850721016776,1.7774553727978315e-05,***
Post-2014 $\times$ Temperature,0.010794171023537703,0.003976846942916794,0.0067563682427582705,***
Post-2014 $\times$ SPI,-0.05215767601118043,0.036448257147477375,0.15273965819010282,
Post-2014 $\times$ SPEI,-0.0517090234394239,0.0171752438791137,0.002671897697779757,***
